locus	compartment
AT1G12360	Cytoplasm
AT1G12370	Nucleus
AT1G12390	Membrane (unspecified)
AT1G12400	Nucleus
AT1G12410	Chloroplast
AT1G12430	Cytoplasm
AT1G12460	Plasma membrane
AT1G12470	Membrane (unspecified)
AT1G12480	Plasma membrane
AT1G12500	Membrane (unspecified)
AT1G12520	Chloroplast
AT1G12540	Nucleus
AT1G12560	Cell wall / apoplast
AT1G12600	Membrane (unspecified)
AT1G12610	Nucleus
AT1G12630	Nucleus
AT1G12640	Endoplasmic reticulum
AT1G12660	Cell wall / apoplast
AT1G12663	Cell wall / apoplast
AT1G12700	Mitochondrion
AT1G12750	Mitochondrion
AT1G12760	Membrane (unspecified)
AT1G12770	Mitochondrion
AT1G12775	Mitochondrion
AT1G12780	Cytoplasm
AT1G12790	Nucleus
AT1G12820	Nucleus
AT1G12840	Vacuole
AT1G12860	Nucleus
AT1G12880	Mitochondrion
AT1G12890	Nucleus
AT1G12900	Chloroplast
AT1G12910	Nucleus
AT1G12920	Cytoplasm
AT1G12940	Plasma membrane
AT1G12950	Membrane (unspecified)
AT1G12980	Nucleus
AT1G13020	Nucleus
AT1G13030	Nucleus
AT1G13040	Mitochondrion
AT1G13060	Cytoplasm
AT1G13080	Membrane (unspecified)
AT1G13090	Membrane (unspecified)
AT1G13100	Membrane (unspecified)
AT1G13110	Membrane (unspecified)
AT1G13120	Nucleus
AT1G13180	Cytoplasm
AT1G13210	Membrane (unspecified)
AT1G13220	Nucleus
AT1G13230	Plasma membrane
AT1G13245	Plasma membrane
AT1G13250	Golgi
AT1G13260	Nucleus
AT1G13270	Chloroplast
AT1G13280	Chloroplast
AT1G13290	Nucleus
AT1G13300	Nucleus
AT1G13320	Cytoplasm
AT1G13330	Nucleus
AT1G13370	Nucleus
AT1G13400	Nucleus
AT1G13420	Cytoplasm
AT1G13430	Cytoplasm
AT1G13440	Cytoplasm
AT1G13450	Nucleus
AT1G13460	Cytoplasm
AT1G13560	Membrane (unspecified)
AT1G13580	Endoplasmic reticulum
AT1G13590	Cell wall / apoplast
AT1G13605	Cell wall / apoplast
AT1G13607	Cell wall / apoplast
AT1G13608	Cell wall / apoplast
AT1G13609	Cell wall / apoplast
AT1G13620	Cell wall / apoplast
AT1G13700	Cytoplasm
AT1G13710	Membrane (unspecified)
AT1G13740	Nucleus
AT1G13750	Cell wall / apoplast
AT1G13755	Cell wall / apoplast
AT1G13770	Membrane (unspecified)
AT1G13860	Endoplasmic reticulum
AT1G13870	Cytoplasm
AT1G13890	Membrane (unspecified)
AT1G13900	Cell wall / apoplast
AT1G13960	Nucleus
AT1G13980	Cytoplasm
AT1G14000	Vacuole
AT1G14010	Endoplasmic reticulum
AT1G14020	Golgi
AT1G14030	Chloroplast
AT1G14040	Plasma membrane
AT1G14070	Golgi
AT1G14080	Golgi
AT1G14100	Golgi
AT1G14110	Golgi
AT1G14140	Mitochondrion
AT1G14150	Chloroplast
AT1G14160	Plasma membrane
AT1G14182	Cell wall / apoplast
AT1G14230	Membrane (unspecified)
AT1G14240	Membrane (unspecified)
AT1G14250	Membrane (unspecified)
AT1G14280	Plasma membrane
AT1G14290	Endoplasmic reticulum
AT1G14320	Cytoplasm
AT1G14350	Nucleus
AT1G14360	Endoplasmic reticulum
AT1G14370	Plasma membrane
AT1G14380	Nucleus
AT1G14390	Membrane (unspecified)
AT1G14410	Chloroplast
AT1G14440	Nucleus
AT1G14450	Mitochondrion
AT1G14490	Nucleus
AT1G14510	Nucleus
AT1G14520	Cytoplasm
AT1G14530	Vacuole
AT1G14540	Cell wall / apoplast
