id:ID,label:LABEL,name
G:AT4G02520,Gene,AT4G02520
G:AT1G78380,Gene,AT1G78380
G:AT3G09270,Gene,AT3G09270
G:AT4G35970,Gene,AT4G35970
G:AT3G63080,Gene,AT3G63080
G:AT2G47730,Gene,AT2G47730
G:AT5G53120,Gene,AT5G53120
G:AT4G39650,Gene,AT4G39650
G:AT1G59700,Gene,AT1G59700
G:AT1G02950,Gene,AT1G02950
G:AT1G02930,Gene,AT1G02930
G:AT4G23100,Gene,AT4G23100
G:AT1G78320,Gene,AT1G78320
G:AT3G02360,Gene,AT3G02360
G:AT4G11600,Gene,AT4G11600
G:AT1G27130,Gene,AT1G27130
G:AT1G78340,Gene,AT1G78340
G:AT1G78370,Gene,AT1G78370
G:AT3G24170,Gene,AT3G24170
G:AT1G19570,Gene,AT1G19570
G:AT2G29450,Gene,AT2G29450
P:ath00360,Pathway,Phenylalanine metabolism
G:AT2G42490,Gene,AT2G42490
G:AT1G31710,Gene,AT1G31710
G:AT4G23590,Gene,AT4G23590
G:AT1G06570,Gene,AT1G06570
G:AT4G34880,Gene,AT4G34880
G:AT4G14940,Gene,AT4G14940
G:AT3G43670,Gene,AT3G43670
G:AT2G22250,Gene,AT2G22250
G:AT2G24850,Gene,AT2G24850
G:AT1G08980,Gene,AT1G08980
G:AT1G62810,Gene,AT1G62810
G:AT5G57170,Gene,AT5G57170
S:OSD-217,Study,OSD-217
G:AT5G61580,Gene,AT5G61580
G:AT1G43670,Gene,AT1G43670
G:AT5G56350,Gene,AT5G56350
G:AT2G01140,Gene,AT2G01140
G:AT5G66530,Gene,AT5G66530
G:AT1G48030,Gene,AT1G48030
G:AT4G26530,Gene,AT4G26530
G:AT1G74030,Gene,AT1G74030
G:AT3G55650,Gene,AT3G55650
G:AT3G12780,Gene,AT3G12780
G:AT2G36580,Gene,AT2G36580
G:AT1G64710,Gene,AT1G64710
G:AT1G56190,Gene,AT1G56190
G:AT3G16910,Gene,AT3G16910
G:AT1G32780,Gene,AT1G32780
G:AT1G79530,Gene,AT1G79530
G:AT3G52930,Gene,AT3G52930
G:AT1G22440,Gene,AT1G22440
G:AT2G24270,Gene,AT2G24270
G:AT1G22170,Gene,AT1G22170
G:AT4G26520,Gene,AT4G26520
G:AT5G01670,Gene,AT5G01670
G:AT4G15530,Gene,AT4G15530
G:AT1G70730,Gene,AT1G70730
G:AT1G24180,Gene,AT1G24180
G:AT3G49160,Gene,AT3G49160
G:AT2G21170,Gene,AT2G21170
G:AT5G01330,Gene,AT5G01330
G:AT1G54100,Gene,AT1G54100
G:AT5G56630,Gene,AT5G56630
G:AT2G21330,Gene,AT2G21330
G:AT1G44575,Gene,AT1G44575
G:AT4G14890,Gene,AT4G14890
G:AT3G01440,Gene,AT3G01440
